ID,Bank,City,Branch,SWIFT Code
1,"ABADI PRISMA EKAMANDIRI, PT",JAKARTA,,ABPEIDJ1
2,ALLIANZ GLOBAL INVESTORS ASSET MANAGEMENT INDONESIA PT,JAKARTA,,AGVAIDJ2
3,ALLO BANK,JAKARTA,,ALOBIDJA
4,"ANUGERAH SECURINDO INDAH, PT",JAKARTA,,ANSIIDJ1
5,"APERDI, PT",JAKARTA,,APERIDJ1
6,"BAHANA SECURITIES, PT",JAKARTA,,BAEUIDJ1
7,"BANK ANZ INDONESIA, P.T.",JAKARTA,,ANZBIDJX
8,"BANK ARTHA GRAHA INTERNASIONAL TBK, PT",JAKARTA,,ARTGIDJA
9,"BANK BNP PARIBAS INDONESIA, PT",JAKARTA,,BNPAIDJA
10,BANK CENTRAL ASIA,JAKARTA,,CENAIDJA
11,"BANK CHINA CONSTRUCTION BANK INDONESIA, PT TBK",JAKARTA,,WIKEIDJ1
12,"BANK CTBC INDONESIA, PT",BANDUNG,BANDUNG BRANCH,CTCBIDJABDG
13,"BANK CTBC INDONESIA, PT",JAKARTA,,CTCBIDJA
14,"BANK CTBC INDONESIA, PT",SURABAYA,SURABAYA BRANCH,CTCBIDJASBY
15,"BANK DKI, PT.",JAKARTA,,BDKIIDJA
16,BANK INA,JAKARTA,,IAPTIDJA
17,BANK INDONESIA,JAKARTA,,INDOIDJA
18,BANK INDONESIA,JAKARTA,,INDOIDJ2
19,BANK INDONESIA,JAKARTA,BANK DEVISA LUAR NEGERI,INDOIDJ2BLN
20,BANK JAGO,JAKARTA,CBD MEGA K FLOOR 46,JAGBIDJA
21,BANK JASA ARTA PT,JAKARTA,,DJARIDJ1
22,BANK JATENG,SEMARANG,,PDJGIDJA
23,"BANK MANDIRI (PERSERO), PT",BANDUNG,BILLS PROCESSING CENTER BANDUNG,BMRIIDJA852
24,"BANK MANDIRI (PERSERO), PT",JAKARTA,,BMRIIDJA
25,"BANK MANDIRI (PERSERO), PT",JAKARTA,BILLS PROCESSING CENTER JAKARTA,BMRIIDJA107
26,"BANK MANDIRI (PERSERO), PT",JAKARTA,HEAD OFFICE-CUSTODIAL SERVICES,BMRIIDJACUS
27,"BANK MANDIRI (PERSERO), PT",JAKARTA,HEAD OFFICE-EXPORT/IMPORT DEPT,BMRIIDJAEXM
28,"BANK MANDIRI (PERSERO), PT",JAKARTA,HEAD OFFICE-SETTLEMENT DEPT,BMRIIDJASTL
29,"BANK MANDIRI (PERSERO), PT",MEDAN,BILLS PROCESSING CENTER MEDAN,BMRIIDJA853
30,"BANK MANDIRI (PERSERO), PT",SEMARANG,BILLS PROCESSING CENTER SEMARANG,BMRIIDJA854
31,"BANK MANDIRI (PERSERO), PT",SURABAYA,BILLS PROCESSING CENTER SURABAYA,BMRIIDJA851
32,BANK MEGA PT,JAKARTA,,MEGAIDJA
33,BANK MEGA PT. TBK.,JAKARTA,,KBNKIDJ1
34,"BANK MIZUHO INDONESIA, PT.",JAKARTA,,MHCCIDJA
35,BANK NASIONAL,BUKITTINGGI,,NBNKIDJ1
36,BANK NEGARA INDONESIA - PT (PERSERO),AMBON,AMBON BRANCH,BNINIDJAABN
37,BANK NEGARA INDONESIA - PT (PERSERO),BALIGE,BALIGE BRANCH,BNINIDJABLG
38,BANK NEGARA INDONESIA - PT (PERSERO),BALIKPAPAN,BALIKPAPAN BRANCH,BNINIDJABPN
39,BANK NEGARA INDONESIA - PT (PERSERO),BALIKPAPAN,PANDANSARI BRANCH,BNINIDJAPSB
40,BANK NEGARA INDONESIA - PT (PERSERO),BANDA ACEH,BANDA ACEH BRANCH,BNINIDJABDA
41,BANK NEGARA INDONESIA - PT (PERSERO),BANDAR LAMPUNG,BANDAR LAMPUNG BRANCH,BNINIDJABDL
42,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,AHMAD YANI BRANCH,BNINIDJAAYI
43,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,BANDUNG BRANCH,BNINIDJABDG
44,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,IKIP BANDUNG BRANCH,BNINIDJAIKB
45,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,ITB BRANCH,BNINIDJAITB
46,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,JALAN JENDRAL SUDIRMAN BRANCH,BNINIDJAJJS
47,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,JALAN PERINTIS KEMERDEKAAN BANDUNG BRANCH,BNINIDJAJPK
48,BANK NEGARA INDONESIA - PT (PERSERO),BANDUNG,UNPAD BR. BDG.,BNINIDJAUPB
49,BANK NEGARA INDONESIA - PT (PERSERO),BANGKO,BANGKO BRANCH,BNINIDJABKO
50,BANK NEGARA INDONESIA - PT (PERSERO),BANJAR,BANJAR BRANCH,BNINIDJABJR
51,BANK NEGARA INDONESIA - PT (PERSERO),BANJARBARU,BANJARBARU BRANCH,BNINIDJABBR
52,BANK NEGARA INDONESIA - PT (PERSERO),BANJARMASIN,BANJARMASIN BRANCH,BNINIDJABMS
53,BANK NEGARA INDONESIA - PT (PERSERO),BANJARMASIN,PANGERAN ANTASARI BRANCH,BNINIDJAPAB
54,BANK NEGARA INDONESIA - PT (PERSERO),BANYUWANGI,BANYUWANGI BRANCH,BNINIDJABWI
55,BANK NEGARA INDONESIA - PT (PERSERO),BARABAI,BARABAI BRANCH,BNINIDJABBI
56,BANK NEGARA INDONESIA - PT (PERSERO),BATAM,BATAM BRANCH,BNINIDJABTM
57,BANK NEGARA INDONESIA - PT (PERSERO),BATURAJA,BATURAJA BRANCH,BNINIDJABTR
58,BANK NEGARA INDONESIA - PT (PERSERO),BAU-BAU,BAU-BAU BRANCH,BNINIDJABAU
59,BANK NEGARA INDONESIA - PT (PERSERO),BEKASI,BEKASI BRANCH,BNINIDJABKS
60,BANK NEGARA INDONESIA - PT (PERSERO),BELAWAN,BELAWAN BRANCH,BNINIDJABLW
61,BANK NEGARA INDONESIA - PT (PERSERO),BENGKULU,BENGKULU BRANCH,BNINIDJABKL
62,BANK NEGARA INDONESIA - PT (PERSERO),BIAK,BIAK BRANCH,BNINIDJABIK
63,BANK NEGARA INDONESIA - PT (PERSERO),BIMA,BIMA BRANCH,BNINIDJABMA
64,BANK NEGARA INDONESIA - PT (PERSERO),BIREUN,BIREUN BRANCH,BNINIDJABRN
65,BANK NEGARA INDONESIA - PT (PERSERO),BITUNG,BITUNG BRANCH,BNINIDJABIT
66,BANK NEGARA INDONESIA - PT (PERSERO),BLITAR,BLITAR BRANCH,BNINIDJABLT
67,BANK NEGARA INDONESIA - PT (PERSERO),BOGOR,BOGOR BRANCH,BNINIDJABGR
68,BANK NEGARA INDONESIA - PT (PERSERO),BOJONEGORO,BOJONEGORO BRANCH,BNINIDJABRO
69,BANK NEGARA INDONESIA - PT (PERSERO),BONDOWOSO,BONDOWOSO BRANCH,BNINIDJABDO
70,BANK NEGARA INDONESIA - PT (PERSERO),BUKITTINGGI,BUKITTINGGI BRANCH,BNINIDJABTG
71,BANK NEGARA INDONESIA - PT (PERSERO),CEPU,CEPU BRANCH,BNINIDJACPU
72,BANK NEGARA INDONESIA - PT (PERSERO),CIAMIS,CIAMIS BRANCH,BNINIDJACAM
73,BANK NEGARA INDONESIA - PT (PERSERO),CIANJUR,CIANJUR BRANCH,BNINIDJACJR
74,BANK NEGARA INDONESIA - PT (PERSERO),CIKAMPEK,CIKAMPEK BRANCH,BNINIDJACKP
75,BANK NEGARA INDONESIA - PT (PERSERO),CILACAP,CILACAP BRANCH,BNINIDJACLP
76,BANK NEGARA INDONESIA - PT (PERSERO),CILEGON,CILEGON BRANCH,BNINIDJACLG
77,BANK NEGARA INDONESIA - PT (PERSERO),CIMAHI,CIMAHI BDG. BRANCH,BNINIDJACMI
78,BANK NEGARA INDONESIA - PT (PERSERO),CIREBON,CIREBON BRANCH,BNINIDJACRB
79,BANK NEGARA INDONESIA - PT (PERSERO),DENPASAR,DENPASAR BRANCH,BNINIDJADPS
80,BANK NEGARA INDONESIA - PT (PERSERO),DENPASAR,RENON BRANCH,BNINIDJARNN
81,BANK NEGARA INDONESIA - PT (PERSERO),DEPOK,MARGONDA BRANCH,BNINIDJAMGD
82,BANK NEGARA INDONESIA - PT (PERSERO),DILI,DILI-EAST TIM,BNINIDJADLI
83,BANK NEGARA INDONESIA - PT (PERSERO),DUMAI,DUMAI BRANCH,BNINIDJADMI
84,BANK NEGARA INDONESIA - PT (PERSERO),ENDE,ENDE BR. NTT.,BNINIDJAEND
85,BANK NEGARA INDONESIA - PT (PERSERO),GARUT,GARUT BRANCH,BNINIDJAGRT
86,BANK NEGARA INDONESIA - PT (PERSERO),GORONTALO,GORONTALO BRANCH,BNINIDJAGTL
87,BANK NEGARA INDONESIA - PT (PERSERO),GRESIK,GRESIK BRANCH,BNINIDJAGRK
88,BANK NEGARA INDONESIA - PT (PERSERO),GUNUNG SITOLI,GUNUNG SITOLI BRANCH,BNINIDJAGST
89,BANK NEGARA INDONESIA - PT (PERSERO),INDRAMAYU,INDRAMAYU BRANCH,BNINIDJAIDR
90,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,,BNINIDJAHII
91,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,,BNINIDJA
92,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,BANDARA SUKARNO HATTA BRANCH,BNINIDJABSH
93,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,DAAN MOGOT BRANCH,BNINIDJADMG
94,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,DUKUH BAWAH LANDMARK BRANCH,BNINIDJADKB
95,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,FATMAWATI BRANCH,BNINIDJAFMI
96,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,GAMBIR BRANCH,BNINIDJAGBR
97,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,GUNUNG SAHARI BRANCH,BNINIDJAGNS
98,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,HARMONI BRANCH,BNINIDJAHMN
99,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,HEAD OFFICE FINANCIAL ANALYSIS AND CONTROL DIVISION,BNINIDJAAPK
100,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,HEAD OFFICE INTERNATIONAL DIVISION,BNINIDJADLN
101,BANK NEGARA INDONESIA - PT (PERSERO),JAKARTA,JAKARTA KOTA BRANCH,BNINIDJAJKT
